Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
1,41091,2710427,577229,
1,32162,382630,4106,
1,42611,484034,4105,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
5,55211,3915791,644968,
5,50592,1629869,42287,
5,204164,5191357,38180,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
10,93543,9861321,1203722,
10,130656,6165995,329258,
10,32412,1583887,161755,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
20,59172,8967152,3077455,
20,211801,18563260,661390,
20,121500,11303571,529605,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
30,41998,10072343,3904295,
30,82136,11492011,1641775,
30,117923,19583058,921266,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
50,111406,31201517,8400598,
50,189899,40546781,6289569,
50,6588,2389790,2375831,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
75,210912,72409279,14044788,
75,1455,631831,5745595,
75,83167,29518687,6772782,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
100,28290,17733546,23317797,
100,209484,99864560,8913780,
100,187242,71906359,5220917,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
125,184574,116732676,27608006,
125,14488,6987087,11710011,
125,101948,51860616,9986948,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
150,58868,42548605,38404552,
150,7613,5576040,24613891,
150,205780,126778743,17203531,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
200,102125,111223556,46624098,
200,128085,96555147,37825682,
200,103495,92264118,23113756,
